"These hex codes can be used in csv/xlsx files and markup files.  Append a ';' at the end of the hex code in your data. Ex:  ""Show me the &#x0024;&#x0024;&@#x0021;"" ==> ""Show me the $$!""",,
key,hex,name
&#x00b1,&#x00B1,plus-minus sign
&#x00b2,&#x00B2,superscript two
&#x00b3,&#x00B3,superscript three
&#x00b4,&#x00B4,acute accent
&#x00b5,&#x00B5,micro sign
&#x00b6,&#x00B6,pilcrow sign
&#x00b7,&#x00B7,middle dot
&#x00b8,&#x00B8,cedilla
&#x00b9,&#x00B9,superscript one
&#x00ba,&#x00BA,"masculine ordinal indicator (windows ""alt 167"")"
&#x00bb,&#x00BB,right-pointing double angle quotation mark
&#x00bc,&#x00BC,vulgar fraction one quarter
&#x00bd,&#x00BD,vulgar fraction one half
&#x00be,&#x00BE,vulgar fraction three quarters
&#x00bf,&#x00BF,inverted question mark
&#x00c0,&#x00C0,latin capital letter a with grave
&#x00c1,&#x00C1,latin capital letter a with acute
&#x00c2,&#x00C2,latin capital letter a with circumflex
&#x00c3,&#x00C3,latin capital letter a with tilde
&#x00c4,&#x00C4,latin capital letter a with diaeresis
&#x00c5,&#x00C5,latin capital letter a with ring above
&#x00c6,&#x00C6,latin capital letter ae
&#x00c7,&#x00C7,latin capital letter c with cedilla
&#x00c8,&#x00C8,latin capital letter e with grave
&#x00c9,&#x00C9,latin capital letter e with acute
&#x00ca,&#x00CA,latin capital letter e with circumflex
&#x00cb,&#x00CB,latin capital letter e with diaeresis
&#x00cc,&#x00CC,latin capital letter i with grave
&#x00cd,&#x00CD,latin capital letter i with acute
&#x00ce,&#x00CE,latin capital letter i with circumflex
&#x00cf,&#x00CF,latin capital letter i with diaeresis
&#x00d0,&#x00D0,latin capital letter eth
&#x00d1,&#x00D1,latin capital letter n with tilde
&#x00d2,&#x00D2,latin capital letter o with grave
&#x00d3,&#x00D3,latin capital letter o with acute
&#x00d4,&#x00D4,latin capital letter o with circumflex
&#x00d5,&#x00D5,latin capital letter o with tilde
&#x00d6,&#x00D6,latin capital letter o with diaeresis
&#x00d7,&#x00D7,multiplication sign
&#x00d8,&#x00D8,latin capital letter o with stroke
&#x00d9,&#x00D9,latin capital letter u with grave
&#x00da,&#x00DA,latin capital letter u with acute
&#x00db,&#x00DB,latin capital letter u with circumflex
&#x00dc,&#x00DC,latin capital letter u with diaeresis
&#x00dd,&#x00DD,latin capital letter y with acute
&#x00de,&#x00DE,latin capital letter thorn
&#x00df,&#x00DF,latin small letter sharp s
&#x00e0,&#x00E0,latin small letter a with grave
&#x00e1,&#x00E1,latin small letter a with acute
&#x00e2,&#x00E2,latin small letter a with circumflex
&#x00e3,&#x00E3,latin small letter a with tilde
&#x00e4,&#x00E4,latin small letter a with diaeresis
&#x00e5,&#x00E5,latin small letter a with ring above
&#x00e6,&#x00E6,latin small letter ae
&#x00e7,&#x00E7,latin small letter c with cedilla
&#x00e8,&#x00E8,latin small letter e with grave
&#x00e9,&#x00E9,latin small letter e with acute
&#x00ea,&#x00EA,latin small letter e with circumflex
&#x00eb,&#x00EB,latin small letter e with diaeresis
&#x00ec,&#x00EC,latin small letter i with grave
&#x00ed,&#x00ED,latin small letter i with acute
&#x00ee,&#x00EE,latin small letter i with circumflex
&#x00ef,&#x00EF,latin small letter i with diaeresis
&#x00f0,&#x00F0,latin small letter eth
&#x00f1,&#x00F1,latin small letter n with tilde
&#x00f2,&#x00F2,latin small letter o with grave
&#x00f3,&#x00F3,latin small letter o with acute
&#x00f4,&#x00F4,latin small letter o with circumflex
&#x00f5,&#x00F5,latin small letter o with tilde
&#x00f6,&#x00F6,latin small letter o with diaeresis
&#x00f7,&#x00F7,division sign
&#x00f8,&#x00F8,latin small letter o with stroke
&#x00f9,&#x00F9,latin small letter u with grave
&#x00fa,&#x00FA,latin small letter u with acute
&#x00fb,&#x00FB,latin small letter u with circumflex
&#x00fc,&#x00FC,latin small letter u with diaeresis
&#x00fd,&#x00FD,latin small letter y with acute
&#x00fe,&#x00FE,latin small letter thorn
&#x00ff,&#x00FF,latin small letter y with diaeresis
&#x0141,&#x0141,latin capital letter l with stroke
&#x0142,&#x0142,latin small letter l with stroke
&#x0143,&#x0143,latin capital letter n with acute
&#x0144,&#x0144,latin small letter n with acute
&#x0145,&#x0145,latin capital letter n with cedilla
&#x0146,&#x0146,latin small letter n with cedilla
&#x0147,&#x0147,latin capital letter n with caron
&#x0148,&#x0148,latin small letter n with caron
&#x014a,&#x014A,latin capital letter eng
&#x014b,&#x014B,latin small letter eng
&#x014c,&#x014C,latin capital letter o with macron
&#x014d,&#x014D,latin small letter o with macron
&#x014e,&#x014E,latin capital letter o with breve
&#x014f,&#x014F,latin small letter o with breve
&#x0150,&#x0150,latin capital letter o with double acute
&#x0151,&#x0151,latin small letter o with double acute
&#x0152,&#x0152,latin capital ligature oe
&#x0153,&#x0153,latin small ligature oe
&#x0154,&#x0154,latin capital letter r with acute
&#x0155,&#x0155,latin small letter r with acute
&#x0156,&#x0156,latin capital letter r with cedilla
&#x0157,&#x0157,latin small letter r with cedilla
&#x0158,&#x0158,latin capital letter r with caron
&#x0159,&#x0159,latin small letter r with caron
&#x015a,&#x015A,latin capital letter s with acute
&#x015b,&#x015B,latin small letter s with acute
&#x015c,&#x015C,latin capital letter s with circumflex
&#x015d,&#x015D,latin small letter s with circumflex
&#x015e,&#x015E,latin capital letter s with cedilla
&#x015f,&#x015F,latin small letter s with cedilla
&#x0160,&#x0160,latin capital letter s with caron
&#x0161,&#x0161,latin small letter s with caron
&#x0162,&#x0162,latin capital letter t with cedilla
&#x0163,&#x0163,latin small letter t with cedilla
&#x0164,&#x0164,latin capital letter t with caron
&#x0165,&#x0165,latin small letter t with caron
&#x0166,&#x0166,latin capital letter t with stroke
&#x0167,&#x0167,latin small letter t with stroke
&#x0168,&#x0168,latin capital letter u with tilde
&#x0169,&#x0169,latin small letter u with tilde
&#x016a,&#x016A,latin capital letter u with macron
&#x016b,&#x016B,latin small letter u with macron
&#x016c,&#x016C,latin capital letter u with breve
&#x016d,&#x016D,latin small letter u with breve
&#x016e,&#x016E,latin capital letter u with ring above
&#x016f,&#x016F,latin small letter u with ring above
&#x0170,&#x0170,latin capital letter u with double acute
&#x0171,&#x0171,latin small letter u with double acute
&#x0174,&#x0174,latin capital letter w with circumflex
&#x0175,&#x0175,latin small letter w with circumflex
&#x0176,&#x0176,latin capital letter y with circumflex
&#x0177,&#x0177,latin small letter y with circumflex
&#x0178,&#x0178,latin capital letter y with diaeresis
&#x0179,&#x0179,latin capital letter z with acute
&#x017a,&#x017A,latin small letter z with acute
&#x017b,&#x017B,latin capital letter z with dot above
&#x017c,&#x017C,latin small letter z with dot above
&#x017d,&#x017D,latin capital letter z with caron
&#x017e,&#x017E,latin small letter z with caron
&#x017f,&#x017F,latin small letter long s
&#x0186,&#x0186,latin capital letter open o
&#x018e,&#x018E,latin capital letter reversed e
&#x019c,&#x019C,latin capital letter turned m
&#x0250,&#x0250,latin small letter turned a
&#x0251,&#x0251,latin small letter alpha
&#x0252,&#x0252,latin small letter turned alpha
&#x0254,&#x0254,latin small letter open o
&#x0258,&#x0258,latin small letter reversed e
&#x0259,&#x0259,latin small letter schwa
&#x025b,&#x025B,latin small letter open e
&#x025c,&#x025C,latin small letter reversed open e
&#x025e,&#x025E,latin small letter closed reversed open e
&#x025f,&#x025F,latin small letter dotless j with stroke
&#x0261,&#x0261,latin small letter script g
&#x0262,&#x0262,latin letter small capital g
&#x0263,&#x0263,latin small letter gamma
&#x0264,&#x0264,latin small letter rams horn
&#x0265,&#x0265,latin small letter turned h
&#x0268,&#x0268,latin small letter i with stroke
&#x026a,&#x026A,latin letter small capital i
&#x026c,&#x026C,latin small letter l with belt
&#x026e,&#x026E,latin small letter lezh
&#x026f,&#x026F,latin small letter turned m
&#x0270,&#x0270,latin small letter turned m with long leg
&#x0274,&#x0274,latin letter small capital n
&#x0275,&#x0275,latin small letter barred o
&#x0276,&#x0276,latin letter small capital oe
&#x0277,&#x0277,latin small letter closed omega
&#x0278,&#x0278,latin small letter phi
&#x0279,&#x0279,latin small letter turned r
&#x0281,&#x0281,latin letter small capital inverted r
&#x0287,&#x0287,latin small letter turned t
&#x028c,&#x028C,latin small letter turned v
&#x028d,&#x028D,latin small letter turned w
&#x028e,&#x028E,latin small letter turned y
&#x029e,&#x029E,latin small letter turned k
&#x0391,&#x0391,greek capital letter alpha
&#x0392,&#x0392,greek capital letter beta
&#x0393,&#x0393,greek capital letter gamma
&#x0394,&#x0394,greek capital letter delta
&#x0395,&#x0395,greek capital letter epsilon
&#x0396,&#x0396,greek capital letter zeta
&#x0397,&#x0397,greek capital letter eta
&#x0398,&#x0398,greek capital letter theta
&#x0399,&#x0399,greek capital letter iota
&#x039a,&#x039A,greek capital letter kappa
&#x039b,&#x039B,greek capital letter lamda
&#x039c,&#x039C,greek capital letter mu
&#x039d,&#x039D,greek capital letter nu
&#x039e,&#x039E,greek capital letter xi
&#x039f,&#x039F,greek capital letter omicron
&#x03a0,&#x03A0,greek capital letter pi
&#x03a1,&#x03A1,greek capital letter rho
&#x03a3,&#x03A3,greek capital letter sigma
&#x03a4,&#x03A4,greek capital letter tau
&#x03a5,&#x03A5,greek capital letter upsilon
&#x03a6,&#x03A6,greek capital letter phi
&#x03a7,&#x03A7,greek capital letter chi
&#x03a8,&#x03A8,greek capital letter psi
&#x03a9,&#x03A9,greek capital letter omega
&#x03b1,&#x03B1,greek small letter alpha
&#x03b2,&#x03B2,greek small letter beta
&#x03b3,&#x03B3,greek small letter gamma
&#x03b4,&#x03B4,greek small letter delta
&#x03b5,&#x03B5,greek small letter epsilon
&#x03b6,&#x03B6,greek small letter zeta
&#x03b7,&#x03B7,greek small letter eta
&#x03b8,&#x03B8,greek small letter theta
&#x03b9,&#x03B9,greek small letter iota
&#x03ba,&#x03BA,greek small letter kappa
&#x03bb,&#x03BB,greek small letter lamda
&#x03bc,&#x03BC,greek small letter mu
&#x03bd,&#x03BD,greek small letter nu
&#x03be,&#x03BE,greek small letter xi
&#x03bf,&#x03BF,greek small letter omicron
&#x03c0,&#x03C0,greek small letter pi
&#x03c1,&#x03C1,greek small letter rho
&#x03c2,&#x03C2,greek small letter final sigma
&#x03c3,&#x03C3,greek small letter sigma
&#x03c4,&#x03C4,greek small letter tau
&#x03c5,&#x03C5,greek small letter upsilon
&#x03c6,&#x03C6,greek small letter phi
&#x03c7,&#x03C7,greek small letter chi
&#x03c8,&#x03C8,greek small letter psi
&#x03c9,&#x03C9,greek small letter omega
&#x0410,&#x0410,cyrillic capital letter a
&#x0411,&#x0411,cyrillic capital letter be
&#x0412,&#x0412,cyrillic capital letter ve
&#x0413,&#x0413,cyrillic capital letter ghe
&#x0414,&#x0414,cyrillic capital letter de
&#x0415,&#x0415,cyrillic capital letter ie
&#x0416,&#x0416,cyrillic capital letter zhe
&#x0417,&#x0417,cyrillic capital letter ze
&#x0418,&#x0418,cyrillic capital letter i
&#x0419,&#x0419,cyrillic capital letter short i
&#x041a,&#x041A,cyrillic capital letter ka
&#x041b,&#x041B,cyrillic capital letter el
&#x041c,&#x041C,cyrillic capital letter em
&#x041d,&#x041D,cyrillic capital letter en
&#x041e,&#x041E,cyrillic capital letter o
&#x041f,&#x041F,cyrillic capital letter pe
&#x0420,&#x0420,cyrillic capital letter er
&#x0421,&#x0421,cyrillic capital letter es
&#x0422,&#x0422,cyrillic capital letter te
&#x0423,&#x0423,cyrillic capital letter u
&#x0424,&#x0424,cyrillic capital letter ef
&#x0425,&#x0425,cyrillic capital letter ha
&#x0426,&#x0426,cyrillic capital letter tse
&#x0427,&#x0427,cyrillic capital letter che
&#x0428,&#x0428,cyrillic capital letter sha
&#x0429,&#x0429,cyrillic capital letter shcha
&#x042a,&#x042A,cyrillic capital letter hard sign
&#x042b,&#x042B,cyrillic capital letter yeru
&#x042c,&#x042C,cyrillic capital letter soft sign
&#x042d,&#x042D,cyrillic capital letter e
&#x042e,&#x042E,cyrillic capital letter yu
&#x042f,&#x042F,cyrillic capital letter ya
&#x0430,&#x0430,cyrillic small letter a
&#x0431,&#x0431,cyrillic small letter be
&#x0432,&#x0432,cyrillic small letter ve
&#x0433,&#x0433,cyrillic small letter ghe
&#x0434,&#x0434,cyrillic small letter de
&#x0435,&#x0435,cyrillic small letter ie
&#x0436,&#x0436,cyrillic small letter zhe
&#x0437,&#x0437,cyrillic small letter ze
&#x0438,&#x0438,cyrillic small letter i
&#x0439,&#x0439,cyrillic small letter short i
&#x043a,&#x043A,cyrillic small letter ka
&#x043b,&#x043B,cyrillic small letter el
&#x043c,&#x043C,cyrillic small letter em
&#x043d,&#x043D,cyrillic small letter en
&#x043e,&#x043E,cyrillic small letter o
&#x043f,&#x043F,cyrillic small letter pe
&#x0440,&#x0440,cyrillic small letter er
&#x0441,&#x0441,cyrillic small letter es
&#x0442,&#x0442,cyrillic small letter te
&#x0443,&#x0443,cyrillic small letter u
&#x0444,&#x0444,cyrillic small letter ef
&#x0445,&#x0445,cyrillic small letter ha
&#x0446,&#x0446,cyrillic small letter tse
&#x0447,&#x0447,cyrillic small letter che
&#x0448,&#x0448,cyrillic small letter sha
&#x0449,&#x0449,cyrillic small letter shcha
&#x044a,&#x044A,cyrillic small letter hard sign
&#x044b,&#x044B,cyrillic small letter yeru
&#x044c,&#x044C,cyrillic small letter soft sign
&#x044d,&#x044D,cyrillic small letter e
&#x044e,&#x044E,cyrillic small letter yu
&#x044f,&#x044F,cyrillic small letter ya
&#x1d00,&#x1D00,latin letter small capital a
&#x1d01,&#x1D01,latin letter small capital ae
&#x1d02,&#x1D02,latin small letter turned ae
&#x1d03,&#x1D03,latin letter small capital barred b
&#x1d04,&#x1D04,latin letter small capital c
&#x1d05,&#x1D05,latin letter small capital d
&#x1d06,&#x1D06,latin letter small capital eth
&#x1d07,&#x1D07,latin letter small capital e
&#x1d08,&#x1D08,latin small letter turned open e
&#x1d09,&#x1D09,latin small letter turned i
&#x1d0a,&#x1D0A,latin letter small capital j
&#x1d0b,&#x1D0B,latin letter small capital k
&#x1d0c,&#x1D0C,latin letter small capital l with stroke
&#x1d0d,&#x1D0D,latin letter small capital m
&#x1d0e,&#x1D0E,latin letter small capital reversed n
&#x1d0f,&#x1D0F,latin letter small capital o
&#x1d10,&#x1D10,latin letter small capital open o
&#x1d11,&#x1D11,latin small letter sideways o
&#x1d12,&#x1D12,latin small letter sideways open o
&#x1d13,&#x1D13,latin small letter sideways o with stroke
&#x1d14,&#x1D14,latin small letter turned oe
&#x1d15,&#x1D15,latin letter small capital ou
&#x1d16,&#x1D16,latin small letter top half o
&#x1d17,&#x1D17,latin small letter bottom half o
&#x1d18,&#x1D18,latin letter small capital p
&#x1d19,&#x1D19,latin letter small capital reversed r
&#x1d1a,&#x1D1A,latin letter small capital turned r
&#x1d1b,&#x1D1B,latin letter small capital t
&#x1d1c,&#x1D1C,latin letter small capital u
&#x1d1d,&#x1D1D,latin small letter sideways u
&#x1d1e,&#x1D1E,latin small letter sideways diaeresized u
&#x1d1f,&#x1D1F,latin small letter sideways turned m
&#x1d20,&#x1D20,latin letter small capital v
&#x1d21,&#x1D21,latin letter small capital w
&#x1d22,&#x1D22,latin letter small capital z
&#x1d23,&#x1D23,latin letter small capital ezh
&#x1d24,&#x1D24,latin letter voiced laryngeal spirant
&#x1d25,&#x1D25,latin letter ain
&#x1d26,&#x1D26,greek letter small capital gamma
&#x1d27,&#x1D27,greek letter small capital lamda
&#x1d28,&#x1D28,greek letter small capital pi
&#x1d29,&#x1D29,greek letter small capital rho
&#x1d2a,&#x1D2A,greek letter small capital psi
&#x1e9e,&#x1E9E,latin capital letter sharp s
&#x1ef2,&#x1EF2,latin capital letter y with grave
&#x1ef3,&#x1EF3,latin small letter y with grave
&#x1ef4,&#x1EF4,latin capital letter y with dot below
&#x1ef5,&#x1EF5,latin small letter y with dot below
&#x1ef8,&#x1EF8,latin capital letter y with tilde
&#x1ef9,&#x1EF9,latin small letter y with tilde
&#x2010,&#x2010,hyphen
&#x2011,&#x2011,non-breaking hyphen
&#x2012,&#x2012,figure dash
&#x2013,&#x2013,en dash
&#x2014,&#x2014,em dash
&#x2015,&#x2015,horizontal bar
&#x2016,&#x2016,double vertical line
&#x2017,&#x2017,double low line
&#x2018,&#x2018,left single quotation mark
&#x2019,&#x2019,right single quotation mark
&#x201a,&#x201A,single low-9 quotation mark
&#x201b,&#x201B,single high-reversed-9 quotation mark
&#x201c,&#x201C,left double quotation mark
&#x201d,&#x201D,right double quotation mark
&#x201e,&#x201E,double low-9 quotation mark
&#x201f,&#x201F,double high-reversed-9 quotation mark
&#x2020,&#x2020,dagger
&#x2021,&#x2021,double dagger
&#x2022,&#x2022,bullet
&#x2023,&#x2023,triangular bullet
&#x2024,&#x2024,one dot leader
&#x2025,&#x2025,two dot leader
&#x2026,&#x2026,horizontal ellipsis
&#x2027,&#x2027,hyphenation point
&#x2030,&#x2030,per mille sign
&#x2031,&#x2031,per ten thousand sign
&#x2032,&#x2032,prime
&#x2033,&#x2033,double prime
&#x2034,&#x2034,triple prime
&#x2035,&#x2035,reversed prime
&#x2036,&#x2036,reversed double prime
&#x2037,&#x2037,reversed triple prime
&#x2038,&#x2038,caret
&#x2039,&#x2039,single left-pointing angle quotation mark
&#x203a,&#x203A,single right-pointing angle quotation mark
&#x203b,&#x203B,reference mark
&#x203c,&#x203C,double exclamation mark
&#x203d,&#x203D,interrobang
&#x203e,&#x203E,overline
&#x203f,&#x203F,undertie
&#x2040,&#x2040,character tie
&#x2041,&#x2041,caret insertion point
&#x2042,&#x2042,asterism
&#x2043,&#x2043,hyphen bullet
&#x2044,&#x2044,fraction slash
&#x2045,&#x2045,left square bracket with quill
&#x2046,&#x2046,right square bracket with quill
&#x2047,&#x2047,double question mark
&#x2048,&#x2048,question exclamation mark
&#x2049,&#x2049,exclamation question mark
&#x204a,&#x204A,tironian sign et
&#x204b,&#x204B,reversed pilcrow sign
&#x204c,&#x204C,black leftwards bullet
&#x204d,&#x204D,black rightwards bullet
&#x204e,&#x204E,low asterisk
&#x204f,&#x204F,reversed semicolon
&#x2050,&#x2050,close up
&#x2051,&#x2051,two asterisks aligned vertically
&#x2052,&#x2052,commercial minus sign
&#x2053,&#x2053,swung dash
&#x2054,&#x2054,inverted undertie
&#x2055,&#x2055,flower punctuation mark
&#x2057,&#x2057,quadruple prime
&#x2070,&#x2070,superscript zero
&#x2071,&#x2071,superscript latin small letter i
&#x2074,&#x2074,superscript four
&#x2075,&#x2075,superscript five
&#x2076,&#x2076,superscript six
&#x2077,&#x2077,superscript seven
&#x2078,&#x2078,superscript eight
&#x2079,&#x2079,superscript nine
&#x207a,&#x207A,superscript plus sign
&#x207b,&#x207B,superscript minus
&#x207c,&#x207C,superscript equals sign
&#x207d,&#x207D,superscript left parenthesis
&#x207e,&#x207E,superscript right parenthesis
&#x207f,&#x207F,superscript latin small letter n
&#x2080,&#x2080,subscript zero
&#x2081,&#x2081,subscript one
&#x2082,&#x2082,subscript two
&#x2083,&#x2083,subscript three
&#x2084,&#x2084,subscript four
&#x2085,&#x2085,subscript five
&#x2086,&#x2086,subscript six
&#x2087,&#x2087,subscript seven
&#x2088,&#x2088,subscript eight
&#x2089,&#x2089,subscript nine
&#x208a,&#x208A,subscript plus sign
&#x208b,&#x208B,subscript minus
&#x208c,&#x208C,subscript equals sign
&#x208d,&#x208D,subscript left parenthesis
&#x208e,&#x208E,subscript right parenthesis
&#x20a0,&#x20A0,euro-currency sign
&#x20a1,&#x20A1,colon sign
&#x20a2,&#x20A2,cruzeiro sign
&#x20a3,&#x20A3,french franc sign
&#x20a4,&#x20A4,lira sign
&#x20a5,&#x20A5,mill sign
&#x20a6,&#x20A6,naira sign
&#x20a7,&#x20A7,peseta sign
&#x20a8,&#x20A8,rupee sign
&#x20a9,&#x20A9,won sign
&#x20aa,&#x20AA,new sheqel sign
&#x20ab,&#x20AB,dong sign
&#x20ac,&#x20AC,euro sign
&#x20ad,&#x20AD,kip sign
&#x20ae,&#x20AE,tugrik sign
&#x20af,&#x20AF,drachma sign
&#x20b0,&#x20B0,german penny sign
&#x20b1,&#x20B1,peso sign
&#x20b2,&#x20B2,guarani sign
&#x20b3,&#x20B3,austral sign
&#x20b4,&#x20B4,hryvnia sign
&#x20b5,&#x20B5,cedi sign
&#x20b6,&#x20B6,livre tournois sign
&#x20b7,&#x20B7,spesmilo sign
&#x20b8,&#x20B8,tenge sign
&#x20b9,&#x20B9,indian rupee sign
&#x2100,&#x2100,account of
&#x2101,&#x2101,addressed to the subject
&#x2102,&#x2102,double-struck capital c
&#x2103,&#x2103,degree celsius
&#x2104,&#x2104,centre line symbol
&#x2105,&#x2105,care of
&#x2106,&#x2106,cada una
&#x2107,&#x2107,euler constant
&#x2108,&#x2108,scruple
&#x2109,&#x2109,degree fahrenheit
&#x210a,&#x210A,script small g
&#x210b,&#x210B,script capital h
&#x210c,&#x210C,black-letter capital h
&#x210d,&#x210D,double-struck capital h
&#x210e,&#x210E,planck constant
&#x210f,&#x210F,planck constant over two pi
&#x2110,&#x2110,script capital i
&#x2111,&#x2111,black-letter capital i
&#x2112,&#x2112,script capital l
&#x2113,&#x2113,script small l
&#x2114,&#x2114,l b bar symbol
&#x2115,&#x2115,double-struck capital n
&#x2116,&#x2116,numero sign
&#x2117,&#x2117,sound recording copyright
&#x2118,&#x2118,script capital p
&#x2119,&#x2119,double-struck capital p
&#x211a,&#x211A,double-struck capital q
&#x211b,&#x211B,script capital r
&#x211c,&#x211C,black-letter capital r
&#x211d,&#x211D,double-struck capital r
&#x211e,&#x211E,prescription take
&#x211f,&#x211F,response
&#x2120,&#x2120,service mark
&#x2121,&#x2121,telephone sign
&#x2122,&#x2122,trade mark sign
&#x2123,&#x2123,versicle
&#x2124,&#x2124,double-struck capital z
&#x2125,&#x2125,ounce sign
&#x2126,&#x2126,ohm sign
&#x2127,&#x2127,inverted ohm sign
&#x2128,&#x2128,black-letter capital z
&#x2129,&#x2129,turned greek small letter iota
&#x212a,&#x212A,kelvin sign
&#x212b,&#x212B,angstrom sign
&#x212c,&#x212C,script capital b
&#x212d,&#x212D,black-letter capital c
&#x212e,&#x212E,estimated symbol
&#x212f,&#x212F,script small e
&#x2130,&#x2130,script capital e
&#x2131,&#x2131,script capital f
&#x2132,&#x2132,turned capital f
&#x2133,&#x2133,script capital m
&#x2134,&#x2134,script small o
&#x2135,&#x2135,alef symbol
&#x2136,&#x2136,bet symbol
&#x2137,&#x2137,gimel symbol
&#x2138,&#x2138,dalet symbol
&#x2141,&#x2141,turned sans-serif capital g
&#x2142,&#x2142,turned sans-serif capital l
&#x2143,&#x2143,reversed sans-serif capital l
&#x2144,&#x2144,turned sans-serif capital y
&#x2145,&#x2145,double-struck italic capital d
&#x2146,&#x2146,double-struck italic small d
&#x2147,&#x2147,double-struck italic small e
&#x2148,&#x2148,double-struck italic small i
&#x2149,&#x2149,double-struck italic small j
&#x214b,&#x214B,turned ampersand
&#x214e,&#x214E,turned small f
&#x2150,&#x2150,vulgar fraction one seventh
&#x2151,&#x2151,vulgar fraction one ninth
&#x2152,&#x2152,vulgar fraction one tenth
&#x2153,&#x2153,vulgar fraction one third
&#x2154,&#x2154,vulgar fraction two thirds
&#x2155,&#x2155,vulgar fraction one fifth
&#x2156,&#x2156,vulgar fraction two fifths
&#x2157,&#x2157,vulgar fraction three fifths
&#x2158,&#x2158,vulgar fraction four fifths
&#x2159,&#x2159,vulgar fraction one sixth
&#x215a,&#x215A,vulgar fraction five sixths
&#x215b,&#x215B,vulgar fraction one eighth
&#x215c,&#x215C,vulgar fraction three eighths
&#x215d,&#x215D,vulgar fraction five eighths
&#x215e,&#x215E,vulgar fraction seven eighths
&#x215f,&#x215F,fraction numerator one
&#x2160,&#x2160,roman numeral one
&#x2161,&#x2161,roman numeral two
&#x2162,&#x2162,roman numeral three
&#x2163,&#x2163,roman numeral four
&#x2164,&#x2164,roman numeral five
&#x2165,&#x2165,roman numeral six
&#x2166,&#x2166,roman numeral seven
