material,nominal_size,nominal_od,nominal_id,nominal_thickness,epsilon,selector_label,selector_value
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.0,1.315,0.957,0.179,0.000005,- / 80 / 0.179,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.0,1.315,0.815,0.25,0.000005,- / 160 / 0.25,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.25,1.66,1.53,0.065,0.000005,- / 5 / 0.065,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.25,1.66,1.442,0.109,0.000005,- / 10 / 0.109,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.25,1.66,1.38,0.14,0.000005,- / 40 / 0.14,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.25,1.66,1.278,0.191,0.000005,- / 80 / 0.191,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.25,1.66,1.16,0.25,0.000005,- / 160 / 0.25,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.5,1.9,1.77,0.065,0.000005,- / 5 / 0.065,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.5,1.9,1.682,0.109,0.000005,- / 10 / 0.109,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.5,1.9,1.61,0.145,0.000005,- / 40 / 0.145,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.5,1.9,1.5,0.2,0.000005,- / 80 / 0.2,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.5,1.9,1.338,0.281,0.000005,- / 160 / 0.281,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,2.0,2.375,2.245,0.065,0.000005,- / 5 / 0.065,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,2.0,2.375,2.157,0.109,0.000005,- / 10 / 0.109,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,2.0,2.375,2.067,0.154,0.000005,- / 40 / 0.154,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,2.0,2.375,1.939,0.218,0.000005,- / 80 / 0.218,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,2.0,2.375,1.687,0.344,0.000005,- / 160 / 0.344,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,2.5,2.375,2.209,0.083,0.000005,- / 5 / 0.083,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,2.5,2.375,2.135,0.12,0.000005,- / 10 / 0.12,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,2.5,2.375,1.969,0.203,0.000005,- / 40 / 0.203,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,2.5,2.375,1.823,0.276,0.000005,- / 80 / 0.276,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,2.5,2.375,1.625,0.375,0.000005,- / 160 / 0.375,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,3.0,3.5,3.334,0.083,0.000005,- / 5 / 0.083,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,3.0,3.5,3.26,0.12,0.000005,- / 10 / 0.12,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,3.0,3.5,3.068,0.216,0.000005,- / 40 / 0.216,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,3.0,3.5,2.9,0.3,0.000005,- / 80 / 0.3,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,3.0,3.5,2.624,0.438,0.000005,- / 160 / 0.438,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,3.5,4,3.834,0.083,0.000005,- / 5 / 0.083,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,3.5,4,3.76,0.12,0.000005,- / 10 / 0.12,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,3.5,4,3.548,0.226,0.000005,- / 40 / 0.226,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,3.5,4,3.364,0.318,0.000005,- / 80 / 0.318,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,4.0,4.5,4.334,0.083,0.000005,- / 5 / 0.083,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,4.0,4.5,4.26,0.12,0.000005,- / 10 / 0.12,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,4.0,4.5,4.026,0.237,0.000005,- / 40 / 0.237,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,4.0,4.5,3.826,0.337,0.000005,- / 80 / 0.337,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,4.0,4.5,3.624,0.438,0.000005,- / 120 / 0.438,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,4.0,4.5,3.438,0.531,0.000005,- / 160 / 0.531,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,5.0,5.563,5.047,0.258,0.000005,STD / 40 / 0.258,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,5.0,5.563,4.813,0.375,0.000005,XS / 80 / 0.375,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,5.0,5.563,5.345,0.109,0.000005,- / 5 / 0.109,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,5.0,5.563,5.295,0.134,0.000005,- / 10 / 0.134,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,5.0,5.563,4.563,0.5,0.000005,- / 120 / 0.5,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,5.0,5.563,4.313,0.625,0.000005,- / 160 / 0.625,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,6.0,6.625,6.065,0.28,0.000005,STD / 40 / 0.28,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,6.0,6.625,5.761,0.432,0.000005,XS / 80 / 0.432,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,6.0,6.625,6.407,0.109,0.000005,- / 5 / 0.109,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,6.0,6.625,6.357,0.134,0.000005,- / 10 / 0.134,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,6.0,6.625,5.501,0.562,0.000005,- / 120 / 0.562,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,6.0,6.625,5.187,0.719,0.000005,- / 160 / 0.719,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,8.0,8.625,7.981,0.322,0.000005,STD / 40 / 0.322,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,8.0,8.625,7.625,0.5,0.000005,XS / 80 / 0.5,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,8.0,8.625,8.407,0.109,0.000005,- / 5 / 0.109,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,8.0,8.625,8.329,0.148,0.000005,- / 10 / 0.148,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,8.0,8.625,8.125,0.25,0.000005,- / 20 / 0.25,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,8.0,8.625,7.813,0.406,0.000005,- / 60 / 0.406,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,8.0,8.625,7.437,0.594,0.000005,- / 100 / 0.594,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,8.0,8.625,7.187,0.719,0.000005,- / 120 / 0.719,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,8.0,8.625,7.001,0.812,0.000005,- / 140 / 0.812,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,8.0,8.625,6.813,0.906,0.000005,- / 160 / 0.906,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,10.0,10.75,10.02,0.365,0.000005,STD / 40 / 0.365,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,10.0,10.75,9.75,0.5,0.000005,XS / 60 / 0.5,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,10.0,10.75,10.482,0.134,0.000005,- / 5 / 0.134,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,10.0,10.75,10.42,0.165,0.000005,- / 10 / 0.165,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,10.0,10.75,10.25,0.25,0.000005,- / 20 / 0.25,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,10.0,10.75,10.136,0.307,0.000005,- / 30 / 0.307,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,10.0,10.75,9.562,0.594,0.000005,- / 80 / 0.594,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,10.0,10.75,9.312,0.719,0.000005,- / 100 / 0.719,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,12.0,12.75,12.438,0.156,0.000005,- / 5 / 0.156,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,12.0,12.75,12.39,0.18,0.000005,- / 10 / 0.18,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,12.0,12.75,12.25,0.25,0.000005,- / 20 / 0.25,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,12.0,12.75,12.09,0.33,0.000005,- / 30 / 0.33,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,12.0,12.75,11.938,0.406,0.000005,- / 40 / 0.406,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,12.0,12.75,11.626,0.562,0.000005,- / 60 / 0.562,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,12.0,12.75,11.374,0.688,0.000005,- / 80 / 0.688,Identification / Pipe Schedule / Wall Thickness
Brass (red brass) pipe - seamless per ASTM B43-20,0.125,0.405,0.281,0.062,0.000005,0.062 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,0.125,0.405,0.205,0.1,0.000005,0.1 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,0.25,0.54,0.376,0.082,0.000005,0.082 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,0.25,0.54,0.294,0.123,0.000005,0.123 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,0.375,0.675,0.495,0.09,0.000005,0.09 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,0.375,0.675,0.421,0.127,0.000005,0.127 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,0.5,0.84,0.626,0.107,0.000005,0.107 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,0.5,0.84,0.542,0.149,0.000005,0.149 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,0.75,1.05,0.822,0.114,0.000005,0.114 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,0.75,1.05,0.736,0.157,0.000005,0.157 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,1.0,1.315,1.063,0.126,0.000005,0.126 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,1.0,1.315,0.951,0.182,0.000005,0.182 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,1.25,1.66,1.368,0.146,0.000005,0.146 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,1.25,1.66,1.272,0.194,0.000005,0.194 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,1.5,1.9,1.6,0.15,0.000005,0.15 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,1.5,1.9,1.494,0.203,0.000005,0.203 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,2.0,2.375,2.063,0.156,0.000005,0.156 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,2.0,2.375,1.933,0.221,0.000005,0.221 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,2.5,2.875,2.501,0.187,0.000005,0.187 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,2.5,2.875,2.315,0.28,0.000005,0.28 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,3.0,3.5,3.062,0.219,0.000005,0.219 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,3.0,3.5,2.892,0.304,0.000005,0.304 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,3.5,4,3.5,0.25,0.000005,0.25 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,3.5,4,3.358,0.321,0.000005,0.321 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,4.0,4.5,4,0.25,0.000005,0.25 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,4.0,4.5,3.818,0.341,0.000005,0.341 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,5.0,5.562,5.062,0.25,0.000005,0.25 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,5.0,5.562,4.812,0.375,0.000005,0.375 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,6.0,6.625,6.125,0.25,0.000005,0.25 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,6.0,6.625,5.751,0.437,0.000005,0.437 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,8.0,8.625,8.001,0.312,0.000005,0.312 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,8.0,8.625,7.625,0.5,0.000005,0.5 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,10.0,10.75,10.02,0.365,0.000005,0.365 / Regular,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,10.0,10.75,9.75,0.5,0.000005,0.5 / Extra Strong,Wall Thickness / Pressure Class
Brass (red brass) pipe - seamless per ASTM B43-20,12.0,12.75,12,0.375,0.000005,0.375 / Regular,Wall Thickness / Pressure Class
Copper capillary tube - hard drawn per ASTM B360-20,0.072,0.072,0.028,0.022,0.000005,0.022,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.072,0.072,0.026,0.023,0.000005,0.023,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.081,0.081,0.033,0.024,0.000005,0.024,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.081,0.081,0.031,0.025,0.000005,0.025,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.087,0.087,0.039,0.024,0.000005,0.024,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.087,0.087,0.036,0.0255,0.000005,0.0255,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.093,0.093,0.042,0.0255,0.000005,0.0255,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.097,0.097,0.046,0.025,0.000005,0.025,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.099,0.099,0.049,0.025,0.000005,0.025,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.106,0.106,0.054,0.026,0.000005,0.026,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.112,0.112,0.059,0.0265,0.000005,0.0265,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.125,0.125,0.075,0.025,0.000005,0.025,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.125,0.125,0.07,0.0275,0.000005,0.0275,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.125,0.125,0.064,0.0305,0.000005,0.0305,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.145,0.145,0.09,0.0275,0.000005,0.0275,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.145,0.145,0.085,0.03,0.000005,0.03,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.145,0.145,0.08,0.0325,0.000005,0.0325,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.16,0.16,0.11,0.025,0.000005,0.025,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.16,0.16,0.1,0.03,0.000005,0.03,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.188,0.188,0.13,0.029,0.000005,0.029,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.188,0.188,0.12,0.034,0.000005,0.034,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.2,0.2,0.145,0.0275,0.000005,0.0275,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.22,0.22,0.16,0.03,0.000005,0.03,Wall Thickness
Copper capillary tube - hard drawn per ASTM B360-20,0.24,0.24,0.175,0.0325,0.000005,0.0325,Wall Thickness
Copper pipe - seamless per ASTM B42-20,0.125,0.405,0.281,0.062,0.000005,0.062 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,0.125,0.405,0.205,0.1,0.000005,0.1 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,0.25,0.54,0.376,0.082,0.000005,0.082 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,0.25,0.54,0.294,0.123,0.000005,0.123 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,0.375,0.675,0.495,0.09,0.000005,0.09 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,0.375,0.675,0.421,0.127,0.000005,0.127 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,0.5,0.84,0.626,0.107,0.000005,0.107 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,0.5,0.84,0.542,0.149,0.000005,0.149 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,0.75,1.05,0.822,0.114,0.000005,0.114 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,0.75,1.05,0.736,0.157,0.000005,0.157 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,1.0,1.315,1.063,0.126,0.000005,0.126 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,1.0,1.315,0.951,0.182,0.000005,0.182 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,1.25,1.66,1.368,0.146,0.000005,0.146 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,1.25,1.66,1.272,0.194,0.000005,0.194 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,1.5,1.9,1.6,0.15,0.000005,0.15 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,1.5,1.9,1.494,0.203,0.000005,0.203 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,2.0,2.375,2.063,0.156,0.000005,0.156 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,2.0,2.375,1.933,0.221,0.000005,0.221 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,2.5,2.875,2.501,0.187,0.000005,0.187 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,2.5,2.875,2.315,0.28,0.000005,0.28 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,3.0,3.5,3.062,0.219,0.000005,0.219 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,3.0,3.5,2.892,0.304,0.000005,0.304 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,3.5,4,3.5,0.25,0.000005,0.25 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,3.5,4,3.358,0.321,0.000005,0.321 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,4.0,4.5,4,0.25,0.000005,0.25 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,4.0,4.5,3.818,0.341,0.000005,0.341 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,5.0,5.562,5.062,0.25,0.000005,0.25 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,5.0,5.562,4.812,0.375,0.000005,0.375 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,6.0,6.625,6.125,0.25,0.000005,0.25 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,6.0,6.625,5.751,0.437,0.000005,0.437 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,8.0,8.625,8.001,0.312,0.000005,0.312 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,8.0,8.625,7.625,0.5,0.000005,0.5 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,10.0,10.75,10.02,0.365,0.000005,0.365 / Regular,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,10.0,10.75,9.75,0.5,0.000005,0.5 / Extra Strong,Wall Thickness / Pressure Class
Copper pipe - seamless per ASTM B42-20,12.0,12.75,12,0.375,0.000005,0.375 / Regular,Wall Thickness / Pressure Class
Copper pipe - threadless - seamless - deoxidized for brazed joint assembly per ASTM B302-2017,0.25,0.54,0.41,0.065,0.000005,0.065,Wall Thickness
Copper pipe - threadless - seamless - deoxidized for brazed joint assembly per ASTM B302-2017,0.375,0.675,0.545,0.065,0.000005,0.065,Wall Thickness
