,Closed Impeller,An enclosed impeller has both a inlet and hub shroud. Leakage is controlled by internal running clearances. Running clearances can be established by separate renewable components (rings) or integrally machined surfaces.,14.1,Pump Principles,
,Concentration of solids by mass (or weight),"The mass (or weight) of dry solids in a given volume of slurry, divided by the total mass (or weight) of that volume of slurry, multiplied by 100 and expressed in percent.",12.1-12.6,Solids and Slurries,
,Concentration of solids by volume,"The actual volume of the solid material in a given volume of slurry, divided by the given volume of slurry, multiplied by 100, and expressed in percent.",12.1-12.6,Solids and Slurries,
,Corrosion,Loss of material created by chemical or electrochemical reaction within the pump environment,12.1-12.6,Solids and Slurries,
,Dynamic head,The component of the total head attributable to fluid motion.,(EDL?),System Curves,Clint is looking at this. Reference friction head and velocity head?
,Francis-Vane Impeller,"This type of impeller usually has higher specific speeds than the radial flow type. The impellers are normally single suction. In pumps of this type, the liquid enters the eye of the impeller axially and exits semi-radially, at about a 60° to 70° angle to the shaft axis. Impellers of this type are either semi-open or enclosed.","14.1, 14.3",Pump Principles,
,Friction head,Friction head is the hydraulic energy required to overcome frictional resistance of a piping system to liquid flow expressed in meters (feet) of liquid.,"1.1-1.2, 2.1-2.2, 12.1-12.6, 14.2, BOK, PSO, VSP",System Curves,
,K Value (Valves and Fittings),"Head loss though valves and standard fittings (minor losses) can be expressed in terms of a resistance coefficient K and the velocity head (V^2/2g). The value of K can be found for various fittings in the referenced sources and the Losses in Valves, Fittings and Bends section of the EDL. ","Cameron Hydraulic Data, 18th edition, pg 3-110 and Pump Handbook, 4th edition, pg 11.54",Combined Pump & System Curves,"Establish definition, Jeff is checking on this"
,Major losses (pipe friction),The friction head loss associated with fluid moving through straight pipe. Refer to Friction Loss Calculator (https://edl.pumps.org/tools/frictional-losses.html),(EDL?),Fluid Flow: General,"
This is not defined in other HI publications. The EDL appears to be the first time we provide this definition. Our definition is consistent with other texts/internet and my understanding.

Pete modified the definition per EDL and understanding 

From internet: 

(Wikipedia) The friction loss in uniform, straight sections of pipe, known as ""major loss"", is caused by the effects of viscosity, the movement of fluid molecules against each other or against the (possibly rough) wall of the pipe. Here, it is greatly affected by whether the flow is laminar (Re < 2000) or turbulent (Re > 4000):[1]

(Nuclear-power.com) Head loss of the hydraulic system is divided into two main categories:
Major Head Loss - due to friction in straight pipes
Minor Head Loss - due to components as valves, bends..."
,Pump Runout (Maximum Flow),"The highest flowrate that a rotodynamic pump can be operated considering the pumps mechanical design and application limitations. 
The highest flowrate shown on the published pump curve.","(EDL?) 14.3, 9.6.3
EDL A&D Group",Pump Curves,"Confirm or modify definition (no official source), Pete has provided suggested definition that is within the HI Standards/Guideline Text. Jeff is checking on this with 14.3 and 9.6.3

9.6.3 Committee draft: 9.6.3.4.3.10 Pump curves with instabilities
A pump curve is considered stable if it is continuously rising from end of curve (runout) to shutoff. Curves which are not continuously rising will require special consideration for stable operation.

14.3-202X - 14.3.3.3.2 A pump performance curve displays the head generated by a specific pump model at rates of flow from zero (shut- off) to maximum flow (runout) at a given operating speed   

EDL: Shut-off Head and Pump Runout:
These points are important during manufacturer testing to fully define the shape of the pump curve. They are the furthest points to the left and right on the curve. Shut-off is the condition of zero flow rate where no liquid is flowing through the pump, but the pump is primed and running. Operating at this point for more than a few seconds can cause serious mechanical issues. Pump Runout is the point at which flow is at a maximum. Operating at this flow can cause cavitation, vibration and, in some pumps, overloading of the driver. These points are to be avoided when operating pumps.

2023-04-27: EDL A&D Group agreed to the definition ""The highest flowrate shown on the published pump curve."" and to change the main term defined from ""Maximum Flow (Pump Runout)"" to ""Pump Runout (Maximum Flow)"""
,Minor losses (valves & fittings),"The friction head loss associated with fluid moving through anything that is not straight pipe (valves, fittings, bends, nozzles, tank entrance and exits, etc.) Also see K value.",(EDL?),Fluid Flow: General,Pete updated the definition. See notes in Major losses above.
,Mixed flow Impeller,"The mixed-flow pump has a single inlet impeller with the flow entering axially and discharging about 45° with shaft axis, to the periphery. Impellers of this type are either semi-open or enclosed.  This type of impeller is used with both volutes and bowls.","BOK, PSO, VSP, 14.1, 14.3",Pump Principles,
,Net positive suction head available (NPSHA),"Net positive suction head available is the total suction pressure available from the system at the pump suction condition,
minus the vapor pressure of the liquid at pumping temperature, acceleration head loss, friction losses, and pressure pulsations due to acoustical resonances. NPSHA for a reciprocating pump is normally expressed in kilopascals
(pounds per square inch). ","1.1-1.2, 1.6, 2.1-2.2, 2.6, 6.1-6.5, 6.6, 7.1-7.5, 7.6, 8.1-8.5, 11.6, 9.6.1, 14.3, 12.1-12.6, 14.2, 14.6, BOK, LCC, PSO, Seals, VSP, CBS",Pump Curves,
,Net positive suction head required (NPSHR),"NPSHR is a minimum NPSH given by the manufacturer/supplier for a pump achieving a specified performance at the specified rate of flow, speed, and pumped liquid (occurrence of visible cavitation, increase of noise and vibration due to cavitation, beginning of head or efficiency drop, head or efficiency drop of a given amount, limitation of cavitation erosion).","1.1-1.2, 2.1-2.2, 1.6, 2.6, 6.1-6.5, 6.6, 7.1-7.5, 8.1-8.5, 11.6, 9.6.1, 9.8, 7.8, 14.3, 14.2, 12.1-12.6, BOK, LCC, PSO, VSP, CBS",Pump Curves,
,Open Impeller,"An open impeller has no front shroud and no (or a minimum) back shroud with the vanes running in close proximity to mating casing walls, side plates, or liners. The vanes are primarily attached to a hub.","14.1, 14.3",Pump Principles,
,Parallel operation,Parallel pumping is when two separate pumps operate at the same time using the same inlet and discharge piping.,14.3,Pump Curves,
,Preferred operating region (POR),"The preferred operating region (POR) is a range of rates of flow to either side of predicted BEP within which the
hydraulic efficiency and the operational reliability of the pump are not substantially degraded. Within this region, the design service life of the pump will not be affected by the internal hydraulic loads or flow-induced vibration. Operating a pump within the POR ensures higher reliability and lower energy consumption.","9.6.3, 14.2, REL, WW, PSO, BOK",Pump Curves,
,Pump efficiency (?p),"The ratio of the pump output power to the pump input power; that is, the ratio of the liquid horsepower to the brake horsepower expressed in percent. Efficiency is expressed in percent. This term is used interchangeably with hydraulic efficiency.  Also called pump mechanical efficiency","1.1-1.2, 1.6, 2.1-2.2, 2.6, 3.1-3.5, 6.1-6.5, 6.6, 8.1-8.5, 11.6, 12.1-12.6, 14.2, 14.3, 40.6, 14.6, BOK, PSO, VSP",Pump Curves,
,Pump input power (Pp),"The power needed to drive the complete pump assembly, including bowl assembly input power, line-shaft power loss, mechanical seal or gland packing friction losses, and thrust bearing loss. It is also called brake horsepower.","1.1-1.2, 1.6, 2.1-2.2, 2.6, 3.1-3.5, 6.1-6.5, 6.6, 14.2, BOK, PSO, VSP",Pump Curves,
,Pump performance curve,"A pump performance curve is a graphical representation of the head generated, power, efficiency, and NPSHR by a specific pump model at rates of flow from zero to maximum at a given operating speed.","14.3
(EDL?)",Pump Curves,"Incorporate definitions for efficiency curve, NPSHR curve, and input power curve JO: 14.3.3.1.1 defined this mentioning power, efficiency and NPSHR (These are typically plotted with rate of flow on the x-axis and head, power, efficiency, and NPSHR on multiple y-axes)"
,Pump rate of flow (Q),The rate of flow of a pump is the total volume throughput per unit of time at suction conditions. It includes both liquid and any dissolved or entrained gases at the stated operating conditions. Rate of flow is expressed in cubic meters per hour (gallons per minute).,8.1-8.5,Pump Curves,
,Radial Flow Impeller,"In radial flow (vaned) impellers the liquid enters the eye of the impeller axially and is turned by the impeller vanes and shroud to exit perpendicular to the axis of the pump shaft (See Figure 14.1.4.2). Impellers of this type are either open, semi-open or enclosed. Radial flow pumps with single inlet impellers usually have a specific speed below approximately 90 (4500) and, with double suction impellers, a specific speed, as calculated using total pump flow rate, below approximately 135 (7000).",14.1-14.2,Pump Principles,Pete updated to include definition from 14.1-14.2
,Semi-Open Impeller,"A semi-open impeller has a shroud only on one side, leaving the vanes exposed on the other side. Semiopen impellers typically require hydraulic balancing as a result of the pressure acting on the surface area of the back shroud. Semiopen impellers may have a back wear ring and balance holes or back pump out vanes with or without balance holes. They are often employed for pumping fluid with stringy or fibrous content.","14.1, 14.3",Pump Principles,
,Series operation,"Series pumping, sometimes referred to as staging, is when the discharge of one pump is routed into the inlet of the next pump.",14.3,Pump Curves,
,Shut-off head,"The pump head at the condition of zero flow where no liquid is flowing through the pump, but the pump is primed and operating and the discharge valve is closed.","11.6, 14.2.4.6, PSO, VSP",Pump Curves,
,Slurry,"Slurry is a mixture of solids (specific gravity typically greater than 1) in a liquid carrier, usually water. It is often used as a means to transport solids. Slurries also occur when solids are present as an incidental part of the process. Properties of the solids and the liquid, as well as the amount of solids, are variable. The solids particle size may vary from a few micrometers, often referred to as microns, up to hundreds of millimeters, and depending upon the size different solids will tend to settle below different threshold transport velocities. Therefore, the properties of slurry are highly variable. Slurry may behave like a Newtonian or non-Newtonian fluid. It may be abrasive and/or corrosive depending on the composition. Slurry pumps are typically used to transport slurries with specific gravities up to 5.3 and solids concentration between 2% and 50% by volume. Slurries with solids of wood, paper, specialized chemical particulates, wastewater, and other organic materials also exist but are not covered in this document.",12.1-12.6,Solids and Slurries,
,Specific gravity of liquid,Specific Gravity is the ratio of density of a liquid relative to the density of water. The reference density for liquid used in Hydraulic Institute standards is based on water at 20 C (68 F) which is 998.2 kg/m3 (62.31 lbm/ft3),14.2,Solids and Slurries,
,Specific gravity of slurry (or mixture),The relative density of the slurry (mixture) to that of water at the same temperature.,12.1-12.6,Solids and Slurries,
,Specific gravity of solids,The relative density of solids with respect to water at standard temperature of 4° C (39.2° F).,12.1-12.6,Solids and Slurries,
,Specific speed,"An index of pump performance at the pump's best efficiency
point (BEP) rate of flow, with the maximum diameter impeller, and at a given rotational speed. ","BOK, 9.8, 14.3, 14.2, VSP, PSO, LCC",Pump Principles,
,Static head,The liquid level and pressure difference (expressed in height of the liquid) that is acting on the pump.,EDL A&D Group,System Curves,"Pete modified definition  from LCC guidebook

2023-04-27: EDL A&D Group agreed to the definition ""The height that a liquid must be lifted as measured from the free surfaces of the source and supply plus the pressure differential between these surfaces, expressed in height of the liquid.""

2023-04-27 EDL Committee further refined definition to ""The height that a liquid must be lifted as measured from the free surface of the source and the free surface of the supply, plus the difference in pressure acting upon these surfaces, expressed in height of the liquid.""

2023-05-16 EDL Committee further refined definition to ""The liquid level and pressure difference (expressed in height of the liquid) that is acting on the pump."""
,Suction specific speed,"Suction specific speed is an index of pump suction
operating characteristics determined at the BEP rate of flow with the maximum diameter impeller. Suction specific speed is an indicator of the net positive suction head required for a 3% drop in head (NPHS3) at a given rate of flow (Q) and rotational speed (n), and provides an assessment of a pumps susceptibility to recirculation.","BOK, 14.3, 50.7, PSO, VSP",Pump Principles,
,System curve,"A system curve is a representation describing the demands of a system. It represents the requirements necessary to overcome the losses generated by piping, fittings, and other equipment at various flow rates of the liquid being pumped.","14.3, BOK, PSO, VSP",System Curves,
,Total head (H) [Htx],"This is the measure of energy (work) increase per unit weight of the liquid, imparted to the liquid by the pump, and is the difference between the total discharge head and the total suction head. This is the head normally specified for pumping applications because the complete characteristics of a system determine the total head required



","1.1-1.2, 1.6, 2.6, 14.2, 14.6, BOK, PSO",Pump Principles,
,Type number,"Dimensionless quantity calculated at the point of best efficiency


",14.6,Pump Principles,
,Variable frequency drive (VFD),An electronic device used primarily for controlling the rotational speed of an alternating current (AC) electric motor by controlling the frequency of the electrical power supplied to the motor.,VSP,Pump Curves,
,Variable speed drive (VSD),"Any device that can be used to vary the speed of the pump, either mechanically or electronically. This may include (but is not limited to) eddy current drives, magnetic drives, variable frequency drives, a hydraulic clutch, fluid drives, variable V-belt drives, and various variable mechanical drives, steam turbines, and gas turbines.",VSP,Pump Curves,
,Velocity head,Velocity head is the kinetic energy per unit mass of the liquid in movement divided by g at a given section.,"1.1-1.2, 1.6, 2.1-2.2, 2.6, 11.6, 12.1-12.6, 14.6, 14.2, BOK, PSO",System Curves,
,"Viscosity (absolute viscosity, dynamic viscosity)","A measure of a liquid's tendency to resist an internal shearing force. For the same given internal shear rate, a liquid that requires a high shear stress has a high viscosity and a liquid that requires a low shear stress has a low viscosity.","BOK, Proper Lubrication Methods for Bearings WP, 10.1-10.5, PSO, VSP",Viscosity,
